Product ID,Handle,Title,URL,Status,Published,Total Variants,In Stock Variants,Out of Stock Variants
9381143249169,adaptive-gearpack-unisex-crass-trained,Adaptive Gearpack-Unisex--CRASS TRAINED,https://www.rudis.com/products/adaptive-gearpack-unisex-crass-trained,Archived,false,1,0,1
9381143314705,elite-singlet-mens-crass-trained-blue,Elite Singlet-Men's--CRASS TRAINED - BLUE,https://www.rudis.com/products/elite-singlet-mens-crass-trained-blue,Archived,false,14,0,14
9380619092241,elite-singlet-mens-mtx-red,Elite Singlet-Men's--MTX RED,https://www.rudis.com/products/elite-singlet-mens-mtx-red,Archived,false,14,0,14
9363751207185,super-soft-tee-unisex-orchard-wc-sst2,Super Soft Tee-Unisex--Orchard WC-sst2,https://www.rudis.com/products/super-soft-tee-unisex-orchard-wc-sst2,Archived,false,10,0,10
9403944370449,elite-quarter-zip-mens-vikingwc,Elite Quarter Zip-Men's--Vikingwc,https://www.rudis.com/products/elite-quarter-zip-mens-vikingwc,Archived,false,9,0,9
9367244701969,hiker-gearpack-unisex-brownsburg-wrestling,Hiker Gearpack-Unisex--Brownsburg Wrestling,https://www.rudis.com/products/hiker-gearpack-unisex-brownsburg-wrestling,Archived,false,1,0,1
9403927953681,womens-elite-singlet-womens-vikingwc-womensblue,Women's Elite Singlet-Women's--Vikingwc-women'sblue,https://www.rudis.com/products/womens-elite-singlet-womens-vikingwc-womensblue,Archived,false,14,0,14
9376150946065,rudis-journey-knit-adult-training-shoes-black-white,RUDIS Journey Knit Adult Training Shoes - Black/White,https://www.rudis.com/products/rudis-journey-knit-adult-training-shoes-black-white,Draft,false,15,0,15
9398316499217,womens-elite-singlet-womens-mica-mountain-blue,Women's Elite Singlet-Women's--Mica Mountain - Blue,https://www.rudis.com/products/womens-elite-singlet-womens-mica-mountain-blue,Archived,false,14,0,14
9403685536017,performance-t-shirt-unisex-point-boro-hs,Performance T-Shirt-Unisex--Point Boro HS,https://www.rudis.com/products/performance-t-shirt-unisex-point-boro-hs,Archived,false,10,0,10
9403927855377,womens-elite-singlet-womens-vikingwc-womensred,Women's Elite Singlet-Women's--Vikingwc-women'sred,https://www.rudis.com/products/womens-elite-singlet-womens-vikingwc-womensred,Archived,false,14,0,14
9398469361937,elite-terry-jogger-unisex-methodswc,Elite Terry Jogger-Unisex--MethodsWC,https://www.rudis.com/products/elite-terry-jogger-unisex-methodswc,Archived,false,10,0,10
9403685765393,cool-touch-crewneck-unisex-point-boro-hs,Cool-Touch Crewneck-Unisex--Point Boro HS,https://www.rudis.com/products/cool-touch-crewneck-unisex-point-boro-hs,Archived,false,16,0,16
9403864711441,tradition-crewneck-unisex-getsix,Tradition Crewneck-Unisex--GetSix,https://www.rudis.com/products/tradition-crewneck-unisex-getsix,Archived,false,10,0,10
9404219654417,elite-shorts-mens-team-hawaii,Elite Shorts-Men's--Team Hawaii,https://www.rudis.com/products/elite-shorts-mens-team-hawaii,Archived,false,10,0,10
9398316204305,elite-singlet-mens-mica-mountain-blue,Elite Singlet-Men's--Mica Mountain - Blue,https://www.rudis.com/products/elite-singlet-mens-mica-mountain-blue,Archived,false,14,0,14
9398469263633,womens-elite-singlet-womens-methodswc,Women's Elite Singlet-Women's--MethodsWC,https://www.rudis.com/products/womens-elite-singlet-womens-methodswc,Archived,false,14,0,14
9404219687185,super-soft-tee-unisex-team-hawaii-national-team,Super Soft Tee-Unisex--Team Hawaii - National Team,https://www.rudis.com/products/super-soft-tee-unisex-team-hawaii-national-team,Archived,false,10,0,10
9368093327633,super-soft-tee-unisex-north-plainfield-hs,Super Soft Tee-Unisex--North Plainfield HS,https://www.rudis.com/products/super-soft-tee-unisex-north-plainfield-hs,Archived,false,10,0,10
9404223947025,a-way-of-life-classic-long-sleeve-unisex-central-coast-rtc-black,A Way Of Life Classic Long Sleeve-Unisex--Central Coast RTC - Black,https://www.rudis.com/products/a-way-of-life-classic-long-sleeve-unisex-central-coast-rtc-black,Archived,false,10,0,10
9367245095185,tradition-hoodie-unisex-brownsburg-wrestling,Tradition Hoodie-Unisex--Brownsburg Wrestling,https://www.rudis.com/products/tradition-hoodie-unisex-brownsburg-wrestling,Archived,false,10,0,10
9398469198097,elite-singlet-mens-methodswc,Elite Singlet-Men's--MethodsWC,https://www.rudis.com/products/elite-singlet-mens-methodswc,Archived,false,14,0,14
9404219785489,womens-elite-shorts-womens-team-hawaii,Women's Elite Shorts-Women's--Team Hawaii,https://www.rudis.com/products/womens-elite-shorts-womens-team-hawaii,Archived,false,9,0,9
9398533128465,8-mesh-shorts-unisex-swat-team-wc-april-24,"8"" Mesh Shorts-Unisex--Swat Team WC April '24",https://www.rudis.com/products/8-mesh-shorts-unisex-swat-team-wc-april-24,Archived,false,10,0,10
9380699373841,rudis-international-adult-wrestling-shoes-red,RUDIS International Adult Wrestling Shoes - Red,https://www.rudis.com/products/rudis-international-adult-wrestling-shoes-red,Active,true,15,0,15
9398316630289,super-soft-tee-unisex-mica-mountain-1,Super Soft Tee-Unisex--Mica Mountain,https://www.rudis.com/products/super-soft-tee-unisex-mica-mountain-1,Archived,false,10,0,10
9404213920017,elite-singlet-mens-team-hawaii-red,Elite Singlet-Men's--Team Hawaii - Red,https://www.rudis.com/products/elite-singlet-mens-team-hawaii-red,Archived,false,14,0,14
9403865006353,elite-shorts-mens-getsix,Elite Shorts-Men's--GetSix,https://www.rudis.com/products/elite-shorts-mens-getsix,Archived,false,10,0,10
9376732119313,comfort-fleece-hoodie-unisex-nyway2,Comfort Fleece Hoodie-Unisex--NYWAY2,https://www.rudis.com/products/comfort-fleece-hoodie-unisex-nyway2,Archived,false,10,0,10
9376760332561,elite-shorts-mens-town-wc,Elite Shorts-Men's--Town WC,https://www.rudis.com/products/elite-shorts-mens-town-wc,Archived,false,10,0,10
9398337831185,elite-singlet-mens-swat-team-april-24,Elite Singlet-Men's--Swat Team April '24,https://www.rudis.com/products/elite-singlet-mens-swat-team-april-24,Archived,false,14,0,14
9404224045329,comfort-fleece-crewneck-unisex-central-coast-rtc-navy,Comfort Fleece Crewneck-Unisex--Central Coast RTC - Navy,https://www.rudis.com/products/comfort-fleece-crewneck-unisex-central-coast-rtc-navy,Archived,false,10,0,10
9403685798161,elite-terry-hoodie-unisex-point-boro-hs,Elite Terry Hoodie-Unisex--Point Boro HS,https://www.rudis.com/products/elite-terry-hoodie-unisex-point-boro-hs,Archived,false,20,0,20
9398316597521,elite-shorts-mens-mica-mountain,Elite Shorts-Men's--Mica Mountain,https://www.rudis.com/products/elite-shorts-mens-mica-mountain,Archived,false,10,0,10
9409288306961,womens-elite-singlet-womens-williamsburg-blue,Women's Elite Singlet-Women's--Williamsburg-blue,https://www.rudis.com/products/womens-elite-singlet-womens-williamsburg-blue,Archived,false,8,0,8
9409061814545,elite-shorts-mens-pitbull-wrestling-club-team-store,Elite Shorts-Men's--Pitbull Wrestling Club Team Store,https://www.rudis.com/products/elite-shorts-mens-pitbull-wrestling-club-team-store,Archived,false,10,0,10
9409317404945,tradition-crewneck-unisex-bo,Tradition Crewneck-Unisex--Bo,https://www.rudis.com/products/tradition-crewneck-unisex-bo,Archived,false,10,0,10
9409287880977,super-soft-tee-unisex-heartland-national-duals,Super Soft Tee-Unisex--Heartland National Duals,https://www.rudis.com/products/super-soft-tee-unisex-heartland-national-duals,Archived,false,10,0,10
9403864875281,elite-singlet-mens-getsix,Elite Singlet-Men's--GetSix,https://www.rudis.com/products/elite-singlet-mens-getsix,Archived,false,14,0,14
9404223979793,a-way-of-life-classic-long-sleeve-unisex-central-coast-rtc-navy,A Way Of Life Classic Long Sleeve-Unisex--Central Coast RTC - Navy,https://www.rudis.com/products/a-way-of-life-classic-long-sleeve-unisex-central-coast-rtc-navy,Archived,false,10,0,10
9361755373841,womens-elite-singlet-womens-south-orange-wrestling-club-team-store-red,Women's Elite Singlet-Women's--South Orange Wrestling Club Team Store (Red) (closed),https://www.rudis.com/products/womens-elite-singlet-womens-south-orange-wrestling-club-team-store-red,Archived,false,14,0,14
9404219457809,elite-quarter-zip-mens-team-hawaii,Elite Quarter Zip-Men's--Team Hawaii,https://www.rudis.com/products/elite-quarter-zip-mens-team-hawaii,Archived,false,9,0,9
9404219556113,super-soft-tee-unisex-team-hawaii,Super Soft Tee-Unisex--Team Hawaii,https://www.rudis.com/products/super-soft-tee-unisex-team-hawaii,Archived,false,10,0,10
9404219719953,tradition-hoodie-unisex-team-hawaii,Tradition Hoodie-Unisex--Team Hawaii,https://www.rudis.com/products/tradition-hoodie-unisex-team-hawaii,Archived,false,10,0,10
9376151142673,ohio-courage-jogger,Ohio Courage Jogger,https://www.rudis.com/products/ohio-courage-jogger,Active,true,7,1,6
9403685601553,cool-touch-jogger-unisex-point-boro-hs,Cool-Touch Jogger-Unisex--Point Boro HS,https://www.rudis.com/products/cool-touch-jogger-unisex-point-boro-hs,Archived,false,18,0,18
9404223914257,super-soft-tee-unisex-central-coast-rtc-navy,Super Soft Tee-Unisex--Central Coast RTC - Navy,https://www.rudis.com/products/super-soft-tee-unisex-central-coast-rtc-navy,Archived,false,10,0,10
9403944141073,elite-singlet-mens-vikingwc-mensblue,Elite Singlet-Men's--Vikingwc-men'sblue,https://www.rudis.com/products/elite-singlet-mens-vikingwc-mensblue,Archived,false,14,0,14
9376780910865,performance-ls-t-shirt-unisex-town-wc,Performance LS T-Shirt-Unisex--Town WC,https://www.rudis.com/products/performance-ls-t-shirt-unisex-town-wc,Archived,false,10,0,10
9398469427473,elite-shorts-mens-methodswc,Elite Shorts-Men's--MethodsWC,https://www.rudis.com/products/elite-shorts-mens-methodswc,Archived,false,10,0,10
9403944304913,tradition-hoodie-unisex-vikingwc-mensblue,Tradition Hoodie-Unisex--Vikingwc-men'sblue,https://www.rudis.com/products/tradition-hoodie-unisex-vikingwc-mensblue,Archived,false,10,0,10
9398316400913,genesis-iv-gearpack-unisex-mica-mountain,Genesis IV Gearpack-Unisex--Mica Mountain,https://www.rudis.com/products/genesis-iv-gearpack-unisex-mica-mountain,Archived,false,1,0,1
9409340932369,comfort-fleece-crewneck-unisex-war-at-the-shore,Comfort Fleece Crewneck-Unisex--War At The Shore,https://www.rudis.com/products/comfort-fleece-crewneck-unisex-war-at-the-shore,Archived,false,10,0,10
9403685896465,te-full-zip-jacket-unisex-point-boro-hs,TE Full Zip Jacket-Unisex--Point Boro HS,https://www.rudis.com/products/te-full-zip-jacket-unisex-point-boro-hs,Archived,false,7,0,7
9368145101073,tradition-crewneck-unisex-wave-wc-march-24,Tradition Crewneck-Unisex--Wave WC March '24,https://www.rudis.com/products/tradition-crewneck-unisex-wave-wc-march-24,Archived,false,20,0,20
